wcat,wdog
7.829366251826286316e-03,-7.986959069967269897e-03
3.055538423359394073e-02,-5.271567404270172119e-02
-1.140240579843521118e-02,-1.013460941612720490e-02
1.165063213557004929e-02,2.234874665737152100e-02
5.305772181600332260e-03,-3.867688588798046112e-03
6.618506461381912231e-02,-1.134568750858306885e-01
5.199212208390235901e-02,-4.805890470743179321e-02
1.331023126840591431e-02,-1.049702987074851990e-02
-4.133769776672124863e-03,1.648056320846080780e-03
1.254448387771844864e-02,2.346859313547611237e-02
8.786548860371112823e-03,2.474137209355831146e-02
9.244708926416933537e-04,-2.869606949388980865e-03
-7.806434761732816696e-03,-3.013613633811473846e-03
2.114023081958293915e-02,1.936544291675090790e-02
3.319357335567474365e-02,-1.787475310266017914e-02
3.622696502134203911e-03,1.502123777754604816e-03
3.377906105015426874e-04,-1.028219610452651978e-02
-3.513064235448837280e-02,3.024223819375038147e-02
-7.710121106356382370e-03,-2.225222438573837280e-02
1.333978679031133652e-02,-1.122169476002454758e-02
-5.016668885946273804e-02,1.383661292493343353e-02
-2.573248639237135649e-04,-2.348134759813547134e-03
1.582850818522274494e-03,4.258907400071620941e-03
6.895568687468767166e-03,-4.154244437813758850e-03
2.420459641143679619e-03,6.073853000998497009e-03
5.377554334700107574e-03,9.049696847796440125e-03
-1.698186621069908142e-02,-8.174910210072994232e-03
-1.221908722072839737e-02,1.799998991191387177e-02
2.197892637923359871e-03,5.924024153500795364e-03
2.800869755446910858e-02,3.507291525602340698e-02
-1.467953342944383621e-02,6.793572753667831421e-02
1.295373309403657913e-02,9.011995978653430939e-03
4.638678510673344135e-04,9.452784433960914612e-04
-1.333787105977535248e-02,-9.148166514933109283e-03
9.316785261034965515e-03,8.130915462970733643e-03
-8.882410824298858643e-03,-1.183620002120733261e-02
1.211126102134585381e-03,-1.652622740948572755e-04
-8.583933115005493164e-03,-9.365034638904035091e-04
-4.639392718672752380e-03,-5.406209267675876617e-03
-5.298970639705657959e-02,3.366684541106224060e-02
1.849069725722074509e-03,7.827765075489878654e-04
-2.674240095075219870e-04,-5.404450464993715286e-03
-2.951836213469505310e-02,3.510665148496627808e-02
-2.963987179100513458e-02,3.563713282346725464e-02
-4.349238798022270203e-02,2.637801505625247955e-02
1.088497135788202286e-02,1.051791850477457047e-02
-1.161555852741003036e-02,-5.158877931535243988e-03
7.582097314298152924e-03,5.988351069390773773e-03
-2.157357335090637207e-02,1.727266609668731689e-02
4.551729559898376465e-02,-2.895760536193847656e-02
3.820101171731948853e-02,-4.133605211973190308e-02
-2.678098389878869057e-03,2.157087810337543488e-02
1.136374846100807190e-02,1.941902004182338715e-02
9.054876863956451416e-02,-6.720414012670516968e-02
-1.228615827858448029e-02,-1.113682612776756287e-02
-5.132457613945007324e-02,3.873267397284507751e-02
3.061209991574287415e-02,-4.680018872022628784e-02
1.240583020262420177e-03,-2.370021305978298187e-03
1.565562374889850616e-02,1.882196776568889618e-02
1.569597236812114716e-02,-2.934546396136283875e-02
-2.567647956311702728e-02,-6.120124366134405136e-03
1.417287252843379974e-02,1.290411036461591721e-02
